UF,Codigo_IBGE,Ente_Federado,VAAT,Ponderador_DRec,Ponderador_NSE
BA,2909901.0,CURACA,6905.19,1.031989,1.024326
BA,2910008.0,DARIO MEIRA,6628.21,1.032254,1.020029
BA,2910057.0,DIAS DAVILA,7761.68,1.031169,1.012358
BA,2910107.0,DOM BASILIO,7220.95,1.031687,1.011113
BA,2910206.0,DOM MACEDO COSTA,8297.87,1.030655,1.017531
BA,2910305.0,ELISIO MEDRADO,6663.07,1.032221,1.015886
BA,2910404.0,ENCRUZILHADA,7767.21,1.031163,1.020462
BA,2910503.0,ENTRE RIOS,7986.33,1.030954,1.020025
BA,2910602.0,ESPLANADA,7591.04,1.031332,1.020886
BA,2910701.0,EUCLIDES DA CUNHA,5421.23,1.03341,1.020109
BA,2910727.0,EUNAPOLIS,8429.91,1.030529,1.010021
BA,2910750.0,FATIMA,5359.72,1.033469,1.026248
BA,2910776.0,FEIRA DA MATA,7022.68,1.031876,1.016836
BA,2910800.0,FEIRA DE SANTANA,7789.93,1.031142,1.012641
BA,2910859.0,FILADELFIA,6456.09,1.032419,1.021491
BA,2910909.0,FIRMINO ALVES,7392.46,1.031522,1.013094
BA,2911006.0,FLORESTA AZUL,8390.41,1.030567,1.019352
BA,2911105.0,FORMOSA DO RIO PRETO,9299.15,1.029696,1.01997
BA,2911204.0,GANDU,4995.71,1.033818,1.015301
BA,2911253.0,GAVIAO,5885.71,1.032965,1.019823
BA,2911303.0,GENTIO DO OURO,7980.12,1.03096,1.013969
BA,2911402.0,GLORIA,7073.8,1.031828,1.022421
BA,2911501.0,GONGOGI,7501.73,1.031418,1.013607
BA,2911600.0,GOVERNADOR MANGABEIRA,7099.78,1.031803,1.017537
BA,2911659.0,GUAJERU,6505.97,1.032371,1.016104
BA,2911709.0,GUANAMBI,7364.38,1.031549,1.007164
BA,2911808.0,GUARATINGA,8251.39,1.0307,1.019943
BA,2911857.0,HELIOPOLIS,6077.65,1.032782,1.025537
BA,2911907.0,IACU,6241.47,1.032625,1.018508
BA,2912004.0,IBIASSUCE,6950.74,1.031945,1.011146
BA,2912103.0,IBICARAI,6658.48,1.032225,1.020059
BA,2912202.0,IBICOARA,6482.79,1.032394,1.014774
BA,2912301.0,IBICUI,6117.82,1.032743,1.01579
BA,2912400.0,IBIPEBA,7982.01,1.030958,1.017326
BA,2912509.0,IBIPITANGA,3761.1,1.035,1.017388
BA,2912608.0,IBIQUERA,8244.57,1.030706,1.024009
BA,2912707.0,IBIRAPITANGA,7874.06,1.031061,1.019353
BA,2912806.0,IBIRAPUA,7679.7,1.031247,1.00985
BA,2912905.0,IBIRATAIA,7140.14,1.031764,1.014421
BA,2913002.0,IBITIARA,7097.13,1.031805,1.01754
BA,2913200.0,IBOTIRAMA,7060.66,1.03184,1.016815
BA,2913309.0,ICHU,6945.19,1.031951,1.011898
BA,2913408.0,IGAPORA,7930.4,1.031007,1.019405
BA,2913457.0,IGRAPIUNA,8067.74,1.030876,1.023571
BA,2913507.0,IGUAI,6752.04,1.032136,1.017388
BA,2913606.0,ILHEUS,7768.76,1.031162,1.013868
BA,2913705.0,INHAMBUPE,7279.48,1.031631,1.024276
BA,2913804.0,IPECAETA,6644.58,1.032239,1.028153
BA,2913903.0,IPIAU,7833.99,1.0311,1.010654
BA,2914000.0,IPIRA,6623.57,1.032259,1.021669
BA,2914109.0,IPUPIARA,6686.54,1.032198,1.008744
BA,2914208.0,IRAJUBA,6565.36,1.032314,1.015034
BA,2914307.0,IRAMAIA,7802.8,1.031129,1.016505
BA,2914406.0,IRAQUARA,6306.51,1.032562,1.022248
BA,2914505.0,IRARA,7621.57,1.031303,1.018181
BA,2914604.0,IRECE,6710.85,1.032175,1.011417
BA,2914653.0,ITABELA,7720.46,1.031208,1.018313
BA,2914703.0,ITABERABA,6891.04,1.032003,1.014662
BA,2914802.0,ITABUNA,8206.04,1.030743,1.012193
BA,2914901.0,ITACARE,7076.68,1.031825,1.020675
BA,2915007.0,ITAETE,6399.63,1.032473,1.022717
BA,2915106.0,ITAGI,5991.61,1.032864,1.021164
BA,2915205.0,ITAGIBA,9656.28,1.029354,1.012056
BA,2915304.0,ITAGIMIRIM,6780.68,1.032108,1.012157
BA,2915353.0,ITAGUACU DA BAHIA,6209.46,1.032655,1.022036
BA,2915403.0,ITAJU DO COLONIA,7292.98,1.031618,1.018358
BA,2915502.0,ITAJUIPE,7334.03,1.031578,1.019208
BA,2915601.0,ITAMARAJU,7174.88,1.031731,1.016287
BA,2915700.0,ITAMARI,8751.59,1.030221,1.021044
BA,2915809.0,ITAMBE,7948.02,1.03099,1.014897
BA,2915908.0,ITANAGRA,8017.78,1.030924,1.020642
BA,2916005.0,ITANHEM,8926.88,1.030053,1.012578
BA,2916104.0,ITAPARICA,7799.43,1.031133,1.015981
BA,2916203.0,ITAPE,6742.75,1.032145,1.015793
BA,2916302.0,ITAPEBI,8541.44,1.030422,1.014768
BA,2916401.0,ITAPETINGA,6661.52,1.032222,1.00856
BA,2916500.0,ITAPICURU,6175.67,1.032688,1.031634
BA,2916609.0,ITAPITANGA,6760.77,1.032127,1.01812
BA,2916708.0,ITAQUARA,7112.7,1.03179,1.021447
BA,2916807.0,ITARANTIM,6970.08,1.031927,1.012568
BA,2916856.0,ITATIM,6171.75,1.032691,1.018892
BA,2916906.0,ITIRUCU,7225.38,1.031682,1.018408
BA,2917003.0,ITIUBA,6283.91,1.032584,1.026211
BA,2917334.0,IUIU,7427.04,1.031489,1.021489
BA,2917409.0,JACARACI,5101.26,1.033717,1.013967
BA,2917508.0,JACOBINA,7596.53,1.031327,1.015472
BA,2917607.0,JAGUAQUARA,7306.19,1.031605,1.016647
BA,2917706.0,JAGUARARI,7880.41,1.031055,1.015549
BA,2917805.0,JAGUARIPE,7887.58,1.031048,1.028271
BA,2917904.0,JANDAIRA,6528.4,1.03235,1.029774
BA,2918001.0,JEQUIE,8135.5,1.030811,1.013654
BA,2918100.0,JEREMOABO,6691.35,1.032194,1.023791
BA,2918209.0,JIQUIRICA,6246.66,1.03262,1.022185
BA,2918308.0,JITAUNA,6412.99,1.03246,1.022221
BA,2918357.0,JOAO DOURADO,6420.43,1.032453,1.019663
BA,2918407.0,JUAZEIRO,6819.59,1.032071,1.017562
BA,2918456.0,JUCURUCU,7586.4,1.031337,1.021352
BA,2918506.0,JUSSARA,6538.64,1.03234,1.024043
BA,2918555.0,JUSSARI,5950.43,1.032903,1.016567
BA,2918605.0,JUSSIAPE,8141.12,1.030805,1.012314
